date_key,month_start,year,quarter,month,year_month
0033c5562f0fe510aa67e43747925f4e,2015-06-01,2015,2,6,2015-06
02059d607bef2a7b1ab830b5f2897085,2018-03-01,2018,1,3,2018-03
020735e67d53ac42324eba9d9cd80846,2010-09-01,2010,3,9,2010-09
12cddf816bcf93182e309b2ff38e4cf0,2016-02-01,2016,1,2,2016-02
15aceb75d86814cb479f1b1a9487c3d4,2013-03-01,2013,1,3,2013-03
174acf6ca4e9804d47a59a499422e621,2013-06-01,2013,2,6,2013-06
1b30ec3bcb718d69a0b3a02c36113181,2011-10-01,2011,4,10,2011-10
1d18e8c1c775005487786745e2b72c5b,2010-08-01,2010,3,8,2010-08
1f984e97d977e177ed3fef181e59e2a2,2018-07-01,2018,3,7,2018-07
20b851db79828c985958154243411278,2013-02-01,2013,1,2,2013-02
21b1ce78e76bfa47af38bb41cdcf3ab3,2017-08-01,2017,3,8,2017-08
21f3a201d68a1afc00961d9b27b9925c,2017-02-01,2017,1,2,2017-02
227f2d6c7c92a44c88ce9fd120352184,2015-08-01,2015,3,8,2015-08
23309b625da7c4afde3dc78bd25af89b,2019-08-01,2019,3,8,2019-08
25657b85c35383e863798cc50524ffce,2010-04-01,2010,2,4,2010-04
2576c96285e66bb8420c4278cad2b186,2018-01-01,2018,1,1,2018-01
281928a0821e7537b89fbd4deb60e725,2018-04-01,2018,2,4,2018-04
287c323e0efa1c1148232e905c3f7d34,2012-10-01,2012,4,10,2012-10
28d453f74023ecf65e980abae7ff1d94,2010-07-01,2010,3,7,2010-07
2bec26a970f897b94e78d6947c52f59f,2019-05-01,2019,2,5,2019-05
2e2f00bd76bf684c963392e80aa33f5c,2011-09-01,2011,3,9,2011-09
30807f2b250fc19057d0de0cff33c4b6,2018-11-01,2018,4,11,2018-11
348f48807f500aeac729fb17d9bc97f1,2013-07-01,2013,3,7,2013-07
34c920d997d82aaaf9be49cb175d2637,2018-06-01,2018,2,6,2018-06
34d44928d5ca7d950e8be7c060330cc4,2014-05-01,2014,2,5,2014-05
