plaza_key,plaza_name,concessionaria
02253008b96c255f3792b58ce1606ee0,"Praça 05 BR-116/SP km 542,90",08.Autopista Regis Bittencourt
02f99f10d684cf4f03284fe3b7ad2488,"Praça 02 BR-101/RJ km 123,00",10.Autopista Fluminense
065bb39a30b30a9471da92562fd9e8c6,"Praça 03 BR-163/MT km 235,45",17.CRO
088d904dd264d6907c80c22a76e03c74,"Praça 05 BR-101/RJ km 299,21",10.Autopista Fluminense
08ebae87869e73a210bddba8e30215b0,"Praça 02 BR-040/MG km 17,65",19.VIA 040
090a319b6981da7a8b329c72f0aa6081,"Praça 03 BR-040/MG km 816,70",02.Concer
0a2e8f915ffac6c8e4c28fe412a570f7,"Praça 08 BR-163/MS km 704,3",18.MS VIA
0a8fa04db154ef963e65858fc608224e,"Praça 02 BR-381/SP km 7,30",09.Autopista Fernão Dias
0aa1db19970cc381bcbb63785a97d2b9,"Praça 04 BR-101/RJ km 252,56",10.Autopista Fluminense
0cc56539e5f51b349db1079dd8d250a3,"Praça 05 BR-101/SC km 243,00",07.Autopista Litoral Sul
0e3732003bd8b0e22874d466b4780356,"Praça 05 BR-116/SC km 233,16",06.Autopista Planalto Sul
1417952b761bd81f2f7b342fb987c1ab,"Praça 04 BR-101/ES km 242,00",14.ECO101
167ab514623bb4a097a780cc44664288,"Praça 05 BR-163/MS km 431,80",18.MS VIA
185ceeae07c0985b77707ff8ba7af28a,"Praça 04 BR-163/MT km 302,05",17.CRO
18b4a44f2c45422db32b55b2b086a556,"Praça 01 BR-324/BA km 597,728 Sentido 1: Leste Sentido 2: Oeste",13.VIA BAHIA
1b9957aac96f9c82d4cbd9bb0117b7ba,"Praça 07 BR-163/MT km 586,90",17.CRO
1c48c5bb0d0ff765f715422a5956185b,"Praça 07 BR-101/ES km 452,00",14.ECO101
1cc04bec8719bde9256904da8e76f951,"Praça 04 BR-116/SP km 87,00",01.Nova Dutra
21dd82e290079d1d55568c3065651be8,Praça 07 BR-163/MS km 605,18.MS VIA
22fcec3bac9b7fff2bedf2a62f117038,"Praça 05 BR-116/BA km 698,41 Sentido 1: Norte Sentido 2: Sul",13.VIA BAHIA
24d25fbc9b9f6674919990d2573154d4,"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste",16.Concebra
2790a37921282b52576b5867896b4a7d,"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste",16.Concebra
2a09de578de615f9282ad33e573c5af8,"Praça 01 BR-116/PR km 134,40",06.Autopista Planalto Sul
2b88951e86bd9af31d033f4257d8a956,"Praça 04 BR-050/MG km 51,50",15.ECO050
2ce8dcd3c65e4aec2b429276214b1b47,"Praça 01 BR-101/ES km 0,80",14.ECO101
2de48e615db1ca05c9eef9fb614eef13,"Praça 04 BR-392/RS km 52,30",05.Ecosul
320bd0630654c0a194cbc0b75e49177b,"Praça 02 BR-116/PR km 204,10",06.Autopista Planalto Sul
32b780942dba67464ba260ba34ebf281,"Praça 04 BR-116/SC km 152,00",06.Autopista Planalto Sul
33b33caad31b058deee4a097a18fe82d,"Praça 02 BR-101/SC km 1,35",07.Autopista Litoral Sul
36163ed09f63f2429b0adab09e7bff94,"Praça 10 BR-262/MG km: 736,90 Sentido 1: Oeste  Sentido 2: Leste",16.Concebra
